year,codest,codmun,enrolled,daycare_pop,ratio
2000,11,110001,89,2262,0.03934571175950486
2004,11,110001,62,2377,0.026083298275136727
2008,11,110001,53,1829,0.028977583378895572
2012,11,110001,103,1496,0.06885026737967914
2000,11,110002,93,6859,0.013558827817466102
2004,11,110002,260,7486,0.03473149879775581
2008,11,110002,726,6755,0.1074759437453738
2012,11,110002,991,5905,0.1678238780694327
2000,11,110003,88,615,0.14308943089430895
2004,11,110003,112,611,0.18330605564648117
2008,11,110003,70,486,0.1440329218106996
2012,11,110003,90,399,0.22556390977443608
2000,11,110004,20,6005,0.0033305578684429643
2004,11,110004,228,6133,0.03717593347464536
2008,11,110004,507,5452,0.092993396918562
2012,11,110004,652,4704,0.13860544217687074
2000,11,110005,99,1423,0.06957132817990162
2004,11,110005,91,1381,0.06589427950760318
2008,11,110005,138,1118,0.12343470483005367
2012,11,110005,163,979,0.16649642492339123
2000,11,110006,73,1601,0.04559650218613367
2004,11,110006,117,1459,0.08019191226867718
2008,11,110006,133,1219,0.10910582444626743
2012,11,110006,176,1062,0.1657250470809793
2000,11,110007,0,871,0.0
2004,11,110007,0,823,0.0
2008,11,110007,0,744,0.0
2012,11,110007,0,477,0.0
2000,11,110008,0,1159,0.0
2004,11,110008,0,1202,0.0
2008,11,110008,116,1391,0.08339324227174695
2012,11,110008,155,1180,0.13135593220338984
2000,11,110009,0,2209,0.0
2004,11,110009,105,2297,0.0457117979973879
2008,11,110009,142,2179,0.06516750803120698
2012,11,110009,156,1942,0.08032955715756952
2000,11,110010,194,3725,0.052080536912751677
2004,11,110010,164,3941,0.04161380360314641
2008,11,110010,252,3511,0.07177442324124181
2012,11,110010,262,3312,0.07910628019323672
2000,11,110011,214,4589,0.04663325343212029
2004,11,110011,319,4714,0.0676707679253288
2008,11,110011,530,4065,0.13038130381303814
2012,11,110011,514,3191,0.16107803196490128
2000,11,110012,204,8592,0.023743016759776536
2004,11,110012,385,8885,0.04333145751266179
2008,11,110012,515,7767,0.0663061671172911
2012,11,110012,653,7444,0.08772165502418054
2000,11,110013,0,2117,0.0
2004,11,110013,0,2473,0.0
2008,11,110013,0,2762,0.0
2012,11,110013,0,2386,0.0
2000,11,110014,0,1532,0.0
2004,11,110014,44,1578,0.02788339670468948
2008,11,110014,123,1370,0.08978102189781022
2012,11,110014,94,1145,0.08209606986899563
2000,11,110015,176,3384,0.05200945626477541
2004,11,110015,182,3376,0.05390995260663507
2008,11,110015,309,2678,0.11538461538461539
2012,11,110015,646,2248,0.2873665480427046
2000,11,110018,411,2563,0.16035895435037065
2004,11,110018,248,2547,0.09736945425991363
2008,11,110018,350,2357,0.14849384811200678
2012,11,110018,524,2117,0.24752007557864902
2000,11,110020,1499,30475,0.04918785890073831
2004,11,110020,1680,32788,0.05123825789923143
2008,11,110020,2492,29701,0.08390289889229319
2012,11,110020,3386,29354,0.11535054847720924
2000,11,110025,156,2013,0.07749627421758569
2004,11,110025,125,1970,0.06345177664974619
