year,codest,codmun,enrolled,daycare_pop,ratio
2012,11,110001,103,1496,0.07
2012,11,110002,991,5905,0.17
2012,11,110003,90,399,0.23
2012,11,110004,652,4704,0.14
2012,11,110005,163,979,0.17
2012,11,110006,176,1062,0.17
2012,11,110007,0,477,0
2012,11,110008,155,1180,0.13
2012,11,110009,156,1942,0.08
2012,11,110010,262,3312,0.08
2012,11,110011,514,3191,0.16
2012,11,110012,653,7444,0.09
2012,11,110013,0,2386,0
2012,11,110014,94,1145,0.08
2012,11,110015,646,2248,0.29
2012,11,110018,524,2117,0.25
2012,11,110020,3386,29354,0.12
2012,11,110025,124,1198,0.1
2012,11,110026,0,220,0
2012,11,110028,562,3034,0.19
2012,11,110029,55,500,0.11
2012,11,110030,1194,5295,0.23
2012,11,110032,166,1458,0.11
2012,11,110033,61,1813,0.03
2012,11,110034,99,1008,0.1
2012,11,110037,0,864,0
2012,11,110040,76,1172,0.06
2012,11,110045,39,2402,0.02
2012,11,110050,53,593,0.09
2012,11,110060,0,386,0
2012,11,110070,78,932,0.08
2012,11,110080,222,1619,0.14
2012,11,110090,0,183,0
2012,11,110092,128,658,0.19
2012,11,110094,197,1340,0.15
2012,11,110100,51,600,85
2012,11,110110,62,704,0.09
2012,11,110120,53,674,0.08
2012,11,110130,98,677,0.14
2012,11,110140,68,950,0.07
2012,11,110143,0,464,0
2012,11,110145,0,367,0
2012,11,110146,0,180,0
2012,11,110147,43,181,0.24
2012,11,110148,0,318,0
2012,11,110149,57,1233,0.05
2012,11,110150,0,708,0
2012,11,110155,108,271,0.4
2012,11,110160,0,667,0
2012,11,110170,160,762,0.21
2012,11,110175,0,642,0
2012,11,110180,63,455,0.14
2012,12,120001,218,1046,0.21
2012,12,120005,119,645,0.18
2012,12,120010,222,1696,0.13
2012,12,120013,137,712,0.19
2012,12,120017,0,750,0
2012,12,120020,1404,7022,0.2
2012,12,120025,205,1236,0.17
2012,12,120030,0,3521,0
2012,12,120032,166,964,0.17
2012,12,120033,405,1591,0.25
2012,12,120034,256,845,0.3
2012,12,120035,78,1957,0.04
2012,12,120038,0,1456,0
2012,12,120039,83,1288,0.06
2012,12,120040,1981,25264,0.08
2012,12,120042,244,1598,0.15
2012,12,120043,69,687,0.1
2012,12,120045,0,1609,0
2012,12,120050,0,3363,0
2012,12,120060,200,4187,0.05
2012,12,120070,156,1320,0.12
2012,12,120080,0,1221,0
2012,13,130002,239,1774,0.13
2012,13,130006,90,1099,0.08
2012,13,130008,51,970,0.05
2012,13,130010,0,1639,0
2012,13,130014,188,1335,0.14
2012,13,130020,11,1802,0.01
2012,13,130030,272,3396,0.08
2012,13,130040,225,2071,0.11
2012,13,130050,598,3184,0.19
2012,13,130060,59,4199,0.01
2012,13,130063,0,1869,0
2012,13,130068,89,1552,0.06
2012,13,130070,0,2764,0
2012,13,130080,234,3787,0.06
2012,13,130083,203,1111,0.18
2012,13,130090,146,1113,0.13
2012,13,130100,0,2650,0
2012,13,130110,58,2837,0.02
2012,13,130115,67,1985,0.03
2012,13,130120,344,7381,0.05
2012,13,130130,121,2032,0.06
2012,13,130140,335,3432,0.1
2012,13,130150,169,1831,0.09
2012,13,130160,298,2729,0.11
2012,13,130165,39,1467,0.03
2012,13,130170,0,3712,0
2012,13,130180,0,3039,0
2012,13,130185,290,3827,0.08
2012,13,130190,444,8000,0.06
2012,13,130195,246,894,0.28
2012,13,130200,101,729,0.14
2012,13,130210,353,863,0.41
2012,13,130220,178,1233,0.14
2012,13,130230,0,2544,0
2012,13,130240,188,3777,0.05
2012,13,130250,128,7737,0.02
2012,13,130255,0,2304,0
2012,13,130260,8810,134984,0.07
2012,13,130270,232,4408,0.05
2012,13,130280,398,1953,0.2
2012,13,130290,248,5986,0.04
2012,13,130300,128,1632,0.08
2012,13,130310,304,2918,0.1
2012,13,130320,20,1522,0.01
2012,13,130330,184,1853,0.1
2012,13,130340,1313,9415,0.14
2012,13,130350,115,2023,0.06
2012,13,130353,554,2476,0.22
2012,13,130356,149,2197,0.07
2012,13,130360,124,2656,0.05
2012,13,130370,0,2919,0
2012,13,130380,189,4036,0.05
2012,13,130390,211,3632,0.06
2012,13,130395,0,1076,0
2012,13,130400,57,904,0.06
2012,13,130406,23,5816,0
2012,13,130410,174,1801,0.1
2012,13,130420,580,6188,0.09
2012,13,130423,283,2098,0.13
2012,13,130426,160,1457,0.11
2012,13,130430,98,1646,0.06
2012,13,130440,60,1819,0.03
2012,14,140002,89,1287,0.07
2012,14,140005,86,1960,0.04
2012,14,140010,2198,22641,0.1
2012,14,140015,0,1292,0
2012,14,140017,109,1342,0.08
2012,14,140020,214,1603,0.13
2012,14,140023,148,737,0.2
2012,14,140028,150,821,0.18
2012,14,140030,148,1235,0.12
2012,14,140040,102,1265,0.08
2012,14,140045,118,1273,0.09
2012,14,140047,278,1837,0.15
2012,14,140050,47,591,0.08
2012,14,140060,0,445,0
2012,14,140070,0,1367,0
2012,15,150010,679,10633,0.06
2012,15,150013,111,532,0.21
2012,15,150020,701,5015,0.14
2012,15,150030,289,3743,0.08
2012,15,150034,214,1583,0.14
2012,15,150040,289,4969,0.06
2012,15,150050,46,3103,0.01
2012,15,150060,1025,7730,0.13
2012,15,150070,157,3028,0.05
2012,15,150080,2058,30583,0.07
2012,15,150085,0,2141,0
2012,15,150090,119,4063,0.03
2012,15,150095,0,2214,0
2012,15,150100,0,1511,0
2012,15,150110,0,2864,0
2012,15,150120,0,3177,0
2012,15,150125,0,273,0
2012,15,150130,669,8657,0.08
2012,15,150140,5765,80577,0.07
2012,15,150145,152,1347,0.11
2012,15,150150,74,3805,0.02
2012,15,150157,135,1186,0.11
2012,15,150160,81,1244,0.07
2012,15,150170,29,9589,0
2012,15,150172,261,1387,0.19
2012,15,150175,107,605,0.18
2012,15,150178,0,5127,0
2012,15,150180,800,9843,0.08
2012,15,150190,124,2336,0.05
2012,15,150195,69,2821,0.02
2012,15,150200,327,1784,0.18
2012,15,150210,1221,11216,0.11
2012,15,150215,118,2513,0.05
2012,15,150220,961,4297,0.22
2012,15,150230,390,3879,0.1
2012,15,150240,302,12645,0.02
2012,15,150250,0,2264,0
2012,15,150260,62,977,0.06
2012,15,150270,115,3223,0.04
2012,15,150275,83,2736,0.03
2012,15,150276,86,967,0.09
2012,15,150277,283,1431,0.2
2012,15,150280,228,3461,0.07
2012,15,150285,114,1224,0.09
2012,15,150290,0,2644,0
2012,15,150293,594,4326,0.14
2012,15,150295,22,2833,0.01
2012,15,150300,152,780,0.19
2012,15,150304,169,1470,0.11
2012,15,150307,336,2107,0.16
2012,15,150309,353,3075,0.11
2012,15,150310,0,3131,0
2012,15,150320,131,2524,0.05
2012,15,150330,370,5372,0.07
2012,15,150340,0,776,0
2012,15,150345,12,4176,0
2012,15,150350,0,2622,0
2012,15,150360,1109,7291,0.15
2012,15,150370,33,4682,0.01
2012,15,150375,57,3938,0.01
2012,15,150380,277,4129,0.07
2012,15,150390,0,5144,0
2012,15,150400,263,2427,0.11
2012,15,150405,226,2263,0.1
2012,15,150410,177,640,0.28
2012,15,150420,945,20683,0.05
2012,15,150430,311,2155,0.14
2012,15,150440,28,1854,0.02
2012,15,150442,1727,8130,0.21
2012,15,150445,47,2153,0.02
2012,15,150450,168,3070,0.05
2012,15,150460,311,2394,0.13
2012,15,150470,0,6855,0
2012,15,150480,763,4116,0.19
2012,15,150490,0,3200,0
2012,15,150495,181,2010,0.09
2012,15,150497,0,1244,0
2012,15,150500,144,902,0.16
2012,15,150503,388,1960,0.2
2012,15,150506,46,5928,0.01
2012,15,150510,229,4542,0.05
2012,15,150520,365,3312,0.11
2012,15,150530,322,6005,0.05
2012,15,150540,206,1287,0.16
2012,15,150543,398,2326,0.17
2012,15,150548,0,3764,0
2012,15,150549,77,600,0.13
2012,15,150550,171,8779,0.02
2012,15,150553,667,14583,0.05
2012,15,150555,77,431,0.18
2012,15,150560,82,515,0.16
2012,15,150563,94,1038,0.09
2012,15,150565,92,2286,0.04
2012,15,150570,0,2331,0
2012,15,150580,547,6656,0.08
2012,15,150590,125,4295,0.03
2012,15,150600,371,2701,0.14
2012,15,150610,0,657,0
2012,15,150611,0,852,0
2012,15,150613,296,5600,0.05
2012,15,150616,25,1177,0.02
2012,15,150618,356,3420,0.1
2012,15,150619,293,3455,0.08
2012,15,150620,597,2772,0.22
2012,15,150630,0,1600,0
2012,15,150635,0,1336,0
2012,15,150640,121,612,0.2
2012,15,150650,531,4081,0.13
2012,15,150655,278,1520,0.18
2012,15,150658,74,1335,0.06
2012,15,150660,501,1482,0.34
2012,15,150670,183,4502,0.04
2012,15,150680,1154,23633,0.05
2012,15,150690,38,519,0.07
2012,15,150700,204,2131,0.1
2012,15,150710,113,1249,0.09
2012,15,150715,226,1918,0.12
2012,15,150720,24,3179,0.01
2012,15,150730,155,6677,0.02
2012,15,150740,0,1022,0
2012,15,150745,110,1957,0.06
2012,15,150746,0,463,0
2012,15,150747,0,1618,0
2012,15,150750,206,1171,0.18
2012,15,150760,353,4364,0.08
2012,15,150770,220,2305,0.1
2012,15,150775,114,376,0.3
2012,15,150780,62,1256,0.05
2012,15,150790,207,1782,0.12
2012,15,150795,611,7279,0.08
2012,15,150796,0,782,0
2012,15,150797,0,1323,0
2012,15,150800,535,5414,0.1
2012,15,150803,0,2430,0
2012,15,150805,101,1497,0.07
2012,15,150808,905,2745,0.33
2012,15,150810,0,8318,0
2012,15,150812,0,4082,0
2012,15,150815,189,3842,0.05
2012,15,150820,235,3530,0.07
2012,15,150830,239,5805,0.04
2012,15,150835,126,1024,0.12
2012,15,150840,331,3059,0.11
2012,16,160005,0,384,0
2012,16,160010,94,665,0.14
2012,16,160015,0,1175,0
2012,16,160020,154,930,0.17
2012,16,160021,81,487,0.17
2012,16,160023,83,583,0.14
2012,16,160025,55,408,0.13
2012,16,160027,25,3722,0.01
2012,16,160030,1279,33046,0.04
2012,16,160040,328,1790,0.18
2012,16,160050,132,2220,0.06
2012,16,160053,36,1614,0.02
2012,16,160055,9,471,0.02
2012,16,160060,578,8528,0.07
